work_start,infer_model_name,train_model_name,image_size,device,file_name,latency
1677033028.7546666,inception_v3,alexnet_512,224,cuda,000000000001.jpg,18.644447326660156
1677033028.8603384,inception_v3,alexnet_512,224,cuda,000000000016.jpg,15.431488037109375
1677033028.9803317,inception_v3,alexnet_512,224,cuda,000000000019.jpg,15.408703804016113
1677033029.0603058,inception_v3,alexnet_512,224,cuda,000000000057.jpg,15.424991607666016
1677033029.1802986,inception_v3,alexnet_512,224,cuda,000000000063.jpg,15.38310432434082
1677033029.2602963,inception_v3,alexnet_512,224,cuda,000000000069.jpg,15.418047904968262
1677033029.3802931,inception_v3,alexnet_512,224,cuda,000000000080.jpg,15.349791526794434
1677033029.4523041,inception_v3,alexnet_512,224,cuda,000000000090.jpg,15.38588809967041
1677033029.568302,inception_v3,alexnet_512,224,cuda,000000000106.jpg,15.492959976196289
1677033029.6443224,inception_v3,alexnet_512,224,cuda,000000000108.jpg,15.517631530761719
1677033029.7643027,inception_v3,alexnet_512,224,cuda,000000000128.jpg,15.55014419555664
1677033029.8402944,inception_v3,alexnet_512,224,cuda,000000000155.jpg,15.41971206665039
1677033029.952301,inception_v3,alexnet_512,224,cuda,000000000161.jpg,15.322624206542969
1677033030.0282972,inception_v3,alexnet_512,224,cuda,000000000171.jpg,14.942432403564453
1677033030.1402836,inception_v3,alexnet_512,224,cuda,000000000178.jpg,15.154144287109375
1677033030.2162862,inception_v3,alexnet_512,224,cuda,000000000180.jpg,15.211392402648926
1677033030.3323045,inception_v3,alexnet_512,224,cuda,000000000183.jpg,15.168512344360352
1677033030.404293,inception_v3,alexnet_512,224,cuda,000000000188.jpg,15.021504402160645
1677033030.520333,inception_v3,alexnet_512,224,cuda,000000000191.jpg,15.188384056091309
1677033030.592302,inception_v3,alexnet_512,224,cuda,000000000202.jpg,15.257247924804688
1677033030.7082915,inception_v3,alexnet_512,224,cuda,000000000205.jpg,15.29526424407959
1677033030.784323,inception_v3,alexnet_512,224,cuda,000000000212.jpg,15.247679710388184
1677033030.900325,inception_v3,alexnet_512,224,cuda,000000000229.jpg,15.137375831604004
1677033030.9803143,inception_v3,alexnet_512,224,cuda,000000000251.jpg,15.382464408874512
1677033031.0923185,inception_v3,alexnet_512,224,cuda,000000000275.jpg,15.685759544372559
1677033031.1763024,inception_v3,alexnet_512,224,cuda,000000000276.jpg,15.227456092834473
1677033031.2923136,inception_v3,alexnet_512,224,cuda,000000000311.jpg,15.191295623779297
1677033031.372292,inception_v3,alexnet_512,224,cuda,000000000318.jpg,15.141983985900879
1677033031.492318,inception_v3,alexnet_512,224,cuda,000000000345.jpg,20.982688903808594
1677033031.5803223,inception_v3,alexnet_512,224,cuda,000000000408.jpg,15.491583824157715
1677033031.696303,inception_v3,alexnet_512,224,cuda,000000000416.jpg,15.623744010925293
1677033031.7763073,inception_v3,alexnet_512,224,cuda,000000000427.jpg,15.563551902770996
1677033031.888351,inception_v3,alexnet_512,224,cuda,000000000448.jpg,20.595487594604492
1677033031.9723015,inception_v3,alexnet_512,224,cuda,000000000453.jpg,15.183615684509277
1677033032.0922909,inception_v3,alexnet_512,224,cuda,000000000456.jpg,15.287551879882812
1677033032.1682901,inception_v3,alexnet_512,224,cuda,000000000463.jpg,15.11683177947998
1677033032.2842827,inception_v3,alexnet_512,224,cuda,000000000492.jpg,15.100768089294434
1677033032.3602893,inception_v3,alexnet_512,224,cuda,000000000509.jpg,15.220800399780273
1677033032.476324,inception_v3,alexnet_512,224,cuda,000000000527.jpg,15.449503898620605
1677033032.5483027,inception_v3,alexnet_512,224,cuda,000000000535.jpg,15.39891242980957
1677033032.6723294,inception_v3,alexnet_512,224,cuda,000000000549.jpg,15.365504264831543
1677033032.752306,inception_v3,alexnet_512,224,cuda,000000000552.jpg,15.282815933227539
1677033032.8723419,inception_v3,alexnet_512,224,cuda,000000000554.jpg,15.384736061096191
1677033032.9483294,inception_v3,alexnet_512,224,cuda,000000000570.jpg,15.454879760742188
1677033033.0723293,inception_v3,alexnet_512,224,cuda,000000000619.jpg,15.43286418914795
1677033033.1442637,inception_v3,alexnet_512,224,cuda,000000000647.jpg,15.396191596984863
1677033033.2562912,inception_v3,alexnet_512,224,cuda,000000000660.jpg,15.399744033813477
1677033033.3283288,inception_v3,alexnet_512,224,cuda,000000000662.jpg,15.153375625610352
1677033033.444244,inception_v3,alexnet_512,224,cuda,000000000664.jpg,15.411904335021973
1677033033.5203102,inception_v3,alexnet_512,224,cuda,000000000665.jpg,15.374688148498535
1677033033.6283407,inception_v3,alexnet_512,224,cuda,000000000674.jpg,15.463583946228027
1677033033.696348,inception_v3,alexnet_512,224,cuda,000000000676.jpg,15.532159805297852
1677033033.812323,inception_v3,alexnet_512,224,cuda,000000000686.jpg,15.535648345947266
1677033033.8843067,inception_v3,alexnet_512,224,cuda,000000000694.jpg,15.597408294677734
1677033034.0003061,inception_v3,alexnet_512,224,cuda,000000000718.jpg,15.631936073303223
1677033034.0803003,inception_v3,alexnet_512,224,cuda,000000000725.jpg,15.573087692260742
1677033034.1963327,inception_v3,alexnet_512,224,cuda,000000000748.jpg,15.352800369262695
1677033034.2723346,inception_v3,alexnet_512,224,cuda,000000000759.jpg,40.78255844116211
1677033034.4163003,inception_v3,alexnet_512,224,cuda,000000000771.jpg,20.581056594848633
1677033034.5003414,inception_v3,alexnet_512,224,cuda,000000000774.jpg,15.607168197631836
1677033034.6123292,inception_v3,alexnet_512,224,cuda,000000000809.jpg,15.531007766723633
1677033034.684313,inception_v3,alexnet_512,224,cuda,000000000851.jpg,15.460288047790527
1677033034.796296,inception_v3,alexnet_512,224,cuda,000000000870.jpg,15.411359786987305
1677033034.8763108,inception_v3,alexnet_512,224,cuda,000000000880.jpg,15.190784454345703
1677033034.992314,inception_v3,alexnet_512,224,cuda,000000000888.jpg,15.316736221313477
1677033035.0683062,inception_v3,alexnet_512,224,cuda,000000000890.jpg,15.184736251831055
1677033035.1882873,inception_v3,alexnet_512,224,cuda,000000000904.jpg,15.07158374786377
1677033035.2643003,inception_v3,alexnet_512,224,cuda,000000000933.jpg,15.42848014831543
1677033035.3802931,inception_v3,alexnet_512,224,cuda,000000000953.jpg,15.149503707885742
1677033035.4523044,inception_v3,alexnet_512,224,cuda,000000000968.jpg,15.592864036560059
1677033035.5722928,inception_v3,alexnet_512,224,cuda,000000000970.jpg,15.5098237991333
1677033035.6483326,inception_v3,alexnet_512,224,cuda,000000000979.jpg,15.479071617126465
1677033035.7723002,inception_v3,alexnet_512,224,cuda,000000001024.jpg,15.439583778381348
1677033035.8403115,inception_v3,alexnet_512,224,cuda,000000001076.jpg,15.378687858581543
1677033035.956315,inception_v3,alexnet_512,224,cuda,000000001097.jpg,15.46566390991211
1677033036.028301,inception_v3,alexnet_512,224,cuda,000000001118.jpg,15.408127784729004
1677033036.1442947,inception_v3,alexnet_512,224,cuda,000000001124.jpg,15.455072402954102
1677033036.22029,inception_v3,alexnet_512,224,cuda,000000001127.jpg,15.234272003173828
1677033036.3363144,inception_v3,alexnet_512,224,cuda,000000001152.jpg,15.204383850097656
1677033036.4082866,inception_v3,alexnet_512,224,cuda,000000001172.jpg,15.024959564208984
1677033036.5203445,inception_v3,alexnet_512,224,cuda,000000001175.jpg,15.549056053161621
1677033036.5963311,inception_v3,alexnet_512,224,cuda,000000001192.jpg,15.484576225280762
1677033036.7203305,inception_v3,alexnet_512,224,cuda,000000001194.jpg,15.378527641296387
1677033036.8003092,inception_v3,alexnet_512,224,cuda,000000001195.jpg,15.579615592956543
1677033036.9123044,inception_v3,alexnet_512,224,cuda,000000001198.jpg,15.075296401977539
1677033036.988304,inception_v3,alexnet_512,224,cuda,000000001242.jpg,15.171744346618652
1677033037.104292,inception_v3,alexnet_512,224,cuda,000000001251.jpg,15.178560256958008
1677033037.1763256,inception_v3,alexnet_512,224,cuda,000000001252.jpg,15.282464027404785
1677033037.296288,inception_v3,alexnet_512,224,cuda,000000001257.jpg,15.28495979309082
1677033037.3682775,inception_v3,alexnet_512,224,cuda,000000001266.jpg,15.07049560546875
1677033037.4883223,inception_v3,alexnet_512,224,cuda,000000001286.jpg,15.374784469604492
1677033037.56027,inception_v3,alexnet_512,224,cuda,000000001289.jpg,15.20860767364502
1677033037.680331,inception_v3,alexnet_512,224,cuda,000000001309.jpg,20.794015884399414
1677033037.7683346,inception_v3,alexnet_512,224,cuda,000000001357.jpg,15.281375885009766
1677033037.8842406,inception_v3,alexnet_512,224,cuda,000000001362.jpg,15.312607765197754
1677033037.9603057,inception_v3,alexnet_512,224,cuda,000000001363.jpg,15.460479736328125
1677033038.072298,inception_v3,alexnet_512,224,cuda,000000001367.jpg,15.491135597229004
1677033038.1483378,inception_v3,alexnet_512,224,cuda,000000001371.jpg,15.48361587524414
